MMVM# sh sfm link | beg SFM8 | until SFM12
sfmUnifiedOperationalDataHandler - SHOW SFM LINKS command
SFM Links (SFM8):
 Link  | CRC Error  | Size Error | Code Group Error | Misalign | No Signal Lock | No signal accept | Errored tokens | Errored tokens count
  77    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  78    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  79    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  80    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  81    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  82    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  83    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  84    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  85    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  86    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  87    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  88    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  89    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  90    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  91    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  92    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  93    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  94    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  95    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  96    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  97    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  98    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  99    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  100    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  101    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  102    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  103    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  104    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  105    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  106    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  107    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  108    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  109    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  110    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  111    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  112    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  113    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  114    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  115    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  116    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  117    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  118    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  119    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  120    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  121    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  122    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  123    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  124    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  125    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  126    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  127    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  128    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  129    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  130    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  131    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  132    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  133    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  134    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  135    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  136    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  137    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  138    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  139    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  140    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  141    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  142    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  143    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63


SFM Links (SFM9):
 Link  | CRC Error  | Size Error | Code Group Error | Misalign | No Signal Lock | No signal accept | Errored tokens | Errored tokens count
 ----------------------------------------------------------------------------------------------------------------------------------------
  0    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  1    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  2    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  3    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  4    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  5    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  6    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  7    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  8    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  9    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***                |  0
  10    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  11    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  12    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  13    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  14    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  15    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
